Datetime,volume,price
2014-03-27,185280640,79.88
2014-03-28,152251850,81.47
2014-03-31,178420740,83.8
2014-04-01,154874300,83.88
2014-04-02,143111440,82.67
2014-04-03,127794990,81.51
2014-04-04,147144280,82.98
2014-04-07,236725410,79.95
2014-04-08,163499350,79.41
2014-04-09,161363630,78.85
2014-04-10,178317550,79.9
2014-04-11,154422060,79.75
2014-04-14,190735310,78.35
2014-04-15,190723350,75.2
2014-04-16,271726740,76.13
2014-04-17,201674510,76.89
2014-04-18,114463050,78.82
2014-04-21,83590290,77.62
2014-04-22,135293150,76.3
2014-04-23,133283600,75.56
2014-04-24,251265730,73.21
2014-04-25,297122510,69.91
2014-04-28,382641850,73.39
2014-04-29,184166290,72.8
2014-04-30,109106810,72.5
2014-05-02,64294280,72.22
2014-05-05,67164800,71.99
2014-05-06,129555640,74.1
2014-05-07,271218480,78.5
2014-05-08,248696590,78.8
2014-05-12,164644990,79.08
2014-05-13,186766010,80.15
2014-05-14,136298440,81.38
2014-05-15,171237780,80.04
2014-05-16,148101150,79.2
2014-05-19,141103030,81.62
2014-05-20,155680150,82.31
2014-05-21,191332530,83.59
2014-05-22,132031140,83.26
2014-05-23,170529760,85.83
2014-05-26,113548190,86.87
2014-05-27,149979600,84.33
2014-05-28,117406900,84.95
2014-05-29,133574640,85.65
2014-05-30,108275150,84.5
2014-06-02,135553000,85.91
2014-06-03,119911060,86.84
2014-06-04,118827760,87.81
2014-06-05,136671320,87.43
2014-06-06,127899230,89.0
2014-06-09,84842190,88.89
2014-06-10,85853250,88.99
2014-06-11,67980020,89.0
2014-06-16,130296750,84.85
2014-06-17,86913970,83.8
2014-06-18,115310330,83.77
2014-06-19,112078350,84.8
2014-06-20,83715090,84.16
2014-06-23,99040960,83.68
2014-06-24,150531880,86.5
2014-06-25,114961050,84.4
2014-06-26,99471360,84.1
2014-06-27,57140600,84.33
2014-06-30,81496490,84.5
2014-07-01,80028320,84.07
2014-07-02,94197580,85.79
2014-07-03,76353880,85.34
2014-07-04,69404770,84.0
2014-07-07,71042760,85.49
2014-07-08,99525260,85.11
2014-07-09,80831840,85.2
2014-07-10,114382280,84.47
2014-07-11,78260360,84.55
2014-07-14,69434020,83.55
2014-07-15,79123700,83.09
2014-07-16,86004300,83.78
2014-07-17,147892860,81.5
2014-07-18,147407130,80.27
2014-07-21,182779550,76.56
2014-07-22,154403850,78.3
2014-07-23,93643340,77.45
2014-07-24,101869250,76.87
2014-07-25,109515350,75.16
2014-07-28,116467930,72.82
2014-07-29,193639220,73.2
2014-07-30,194588780,73.68
2014-07-31,110573680,73.6
2014-08-01,183538940,72.37
2014-08-04,102965070,72.75
2014-08-05,103702890,71.6
2014-08-06,252771000,69.0
2014-08-07,257510130,68.5
2014-08-08,162405320,70.7
2014-08-11,168710010,74.21
2014-08-12,168530250,73.35
2014-08-13,137022330,74.84
2014-08-14,146635000,74.99
2014-08-15,127078390,75.05
2014-08-18,87278050,75.15
2014-08-19,97471200,76.0
2014-08-20,120071260,76.9
2014-08-21,115995050,78.4
2014-08-22,140619770,78.39
2014-08-25,118676060,78.56
2014-08-26,79132960,77.44
2014-08-27,81493260,77.93
2014-08-28,231820440,74.59
2014-08-29,193460210,73.21
2014-09-01,164429290,73.68
2014-09-02,104627840,73.76
2014-09-03,277102210,78.5
2014-09-04,158504110,79.39
2014-09-05,159432130,80.25
2014-09-08,108470700,78.69
2014-09-09,105818380,79.41
2014-09-10,86323660,78.67
2014-09-11,153119340,76.3
2014-09-12,145526680,76.65
2014-09-15,127147020,75.63
2014-09-16,141626080,77.6
2014-09-17,150425900,78.66
2014-09-18,102250150,77.98
2014-09-19,122982290,77.4
2014-09-22,84589910,76.0
2014-09-23,97635080,77.68
2014-09-24,123499180,79.05
2014-09-25,121092190,78.01
2014-09-26,111612420,77.6
2014-09-29,100645000,76.7
2014-09-30,144552360,75.52
2014-10-01,130262550,74.26
2014-10-02,145206610,73.15
2014-10-03,111663690,73.77
2014-10-06,125594530,76.33
2014-10-07,97153580,75.32
2014-10-08,132003430,73.8
2014-10-09,144528280,73.65
2014-10-10,141617220,73.5
2014-10-13,116922770,74.26
2014-10-14,95473820,74.55
2014-10-15,120577500,73.08
2014-10-16,195738120,71.12
2014-10-17,146039730,73.15
2014-10-20,122048450,72.25
2014-10-21,116676840,72.5
2014-10-22,98536180,71.82
2014-10-23,132619500,71.59
2014-10-24,76065860,72.49
2014-10-27,119696300,72.9
2014-10-28,101388880,73.9
2014-10-29,100125200,74.05
2014-10-30,180995180,74.98
2014-10-31,154675720,76.23
2014-11-03,49892210,76.29
2014-11-05,101085650,75.65
2014-11-06,109722350,75.05
2014-11-07,195083240,75.69
2014-11-10,125636500,77.78
2014-11-11,130820430,77.34
2014-11-12,113847180,76.32
2014-11-13,150544890,74.03
2014-11-14,101827010,74.15
2014-11-17,77982280,73.97
2014-11-18,121080470,75.21
2014-11-19,89158940,73.9
2014-11-20,104580980,73.63
2014-11-21,105852740,74.39
2014-11-24,85541840,74.4
2014-11-25,59713060,74.11
2014-11-26,91757390,73.85
2014-11-27,87730700,73.04
2014-11-28,128193600,72.25
2014-12-01,139383260,73.79
2014-12-02,133472040,71.64
2014-12-03,115782340,72.0
2014-12-04,162018990,71.04
2014-12-05,160171610,68.6
2014-12-08,167156200,65.3
2014-12-09,198020150,66.26
2014-12-10,180002300,67.77
2014-12-11,182009630,65.95
2014-12-12,157344230,64.2
2014-12-15,224047750,60.13
2014-12-16,470750510,53.5
2014-12-17,446526580,59.9
2014-12-18,317744140,62.91
2014-12-19,171795280,61.44
2014-12-22,228645560,58.6
2014-12-23,230869270,54.0
2014-12-24,166419660,55.0
2014-12-25,116646610,58.7
2014-12-26,134648850,57.13
2014-12-29,113669200,54.51
2014-12-30,120437150,54.9
2015-01-05,63231040,56.37
2015-01-06,70269700,58.28
2015-01-08,187598890,65.7
2015-01-09,107559890,63.1
2015-01-12,99435900,62.9
2015-01-13,190655450,60.31
2015-01-14,134066670,60.05
