DateTime,open,high,low,close,volume,price
10/16/2007 14:01,99.55,99.58,99.53,99.55,11715,48.55
10/16/2007 14:02,99.55,99.63,99.55,99.6,14823,54.6
10/16/2007 14:03,99.58,99.67,99.57,99.65,31199,58.65
10/16/2007 14:04,99.64,99.71,99.6,99.71,18409,50.71
10/16/2007 14:05,99.72,99.73,99.58,99.66,26537,58.66
10/16/2007 14:06,99.66,99.7,99.47,99.64,138185,46.64
10/16/2007 14:07,99.64,99.68,99.64,99.68,12551,58.68
10/16/2007 14:08,99.68,99.72,99.68,99.68,17452,53.68
10/16/2007 14:09,99.67,99.69,99.62,99.63,13627,62.63
10/16/2007 14:10,99.63,99.64,99.58,99.6,15540,57.6
10/16/2007 14:11,99.6,99.73,99.6,99.72,16138,53.72
10/16/2007 14:12,99.73,99.78,99.68,99.7,22354,47.7
10/16/2007 14:13,99.68,99.72,99.64,99.68,14584,59.68
10/16/2007 14:14,99.67,99.73,99.67,99.73,15062,49.73
10/16/2007 14:15,99.73,99.73,99.68,99.73,17692,47.73
10/16/2007 14:16,99.72,99.78,99.66,99.71,37774,53.71
10/16/2007 14:17,99.73,99.76,99.59,99.74,48413,52.74
10/16/2007 14:18,99.76,99.88,99.76,99.84,21636,63.84
10/16/2007 14:19,99.82,99.86,99.68,99.78,35383,50.78
10/16/2007 14:20,99.78,99.8,99.68,99.7,20082,51.7
10/16/2007 14:21,99.69,99.73,99.64,99.67,20441,52.67
10/16/2007 14:22,99.67,99.71,99.64,99.68,15301,62.68
10/16/2007 14:23,99.69,99.7,99.65,99.67,7172,55.67
10/16/2007 14:24,99.66,99.73,99.62,99.69,21875,58.69
10/16/2007 14:25,99.72,99.76,99.66,99.75,16257,60.75
10/16/2007 14:26,99.73,99.8,99.73,99.73,18289,62.73
10/16/2007 14:27,99.72,99.72,99.55,99.59,29765,52.59
10/16/2007 14:28,99.58,99.63,99.56,99.59,16855,56.59
10/16/2007 14:29,99.58,99.59,99.55,99.58,25820,55.58
10/16/2007 14:30,99.58,99.71,99.57,99.68,20800,53.68
10/16/2007 14:31,99.68,99.71,99.66,99.68,36339,48.68
10/16/2007 14:32,99.68,99.72,99.56,99.7,47935,62.7
10/16/2007 14:33,99.71,99.77,99.68,99.73,16974,63.73
10/16/2007 14:34,99.72,99.72,99.65,99.65,21278,61.65
10/16/2007 14:35,99.68,99.69,99.66,99.68,17572,59.68
10/16/2007 14:36,99.68,99.68,99.64,99.67,16138,53.67
10/16/2007 14:37,99.67,99.69,99.56,99.62,39926,61.62
10/16/2007 14:38,99.62,99.7,99.53,99.6,49130,55.6
10/16/2007 14:39,99.6,99.64,99.48,99.58,46978,47.58
10/16/2007 14:40,99.58,99.68,99.57,99.61,27852,57.61
10/16/2007 14:41,99.59,99.7,99.59,99.7,16138,53.7
10/16/2007 14:42,99.7,99.73,99.7,99.72,16138,53.72
10/16/2007 14:43,99.72,99.72,99.66,99.69,14225,58.69
10/16/2007 14:44,99.68,99.75,99.68,99.73,27613,62.73
10/16/2007 14:45,99.73,99.8,99.73,99.8,9324,63.8
10/16/2007 14:46,99.79,99.79,99.72,99.76,29526,57.76
10/16/2007 14:47,99.76,99.76,99.71,99.76,18947,52.76
10/16/2007 14:48,99.75,99.76,99.68,99.74,27015,48.74
10/16/2007 14:49,99.73,99.76,99.73,99.73,11715,48.73
10/16/2007 14:50,99.73,99.76,99.73,99.76,14225,58.76
10/16/2007 14:51,99.75,99.76,99.71,99.72,13627,62.72
