Datetime,volume,price
2014-07-31,2182500,50.55
2014-08-01,4934400,49.53
2014-08-04,4008400,49.9
2014-08-05,16834900,46.97
2014-08-06,9324700,44.62
2014-08-07,11326100,44.44
2014-08-08,4414600,44.71
2014-08-11,5532100,46.1
2014-08-12,5264300,45.4
2014-08-13,5332900,46.4
2014-08-14,8226500,48.25
2014-08-15,9806600,48.6
2014-08-18,2620300,49.17
2014-08-19,4357100,49.71
2014-08-20,2688400,49.6
2014-08-21,3106300,50.0
2014-08-22,3921100,48.88
2014-08-25,2955900,49.41
2014-08-26,1839300,48.31
2014-08-27,2068100,48.37
2014-08-28,4906500,46.7
2014-08-29,3521700,46.73
2014-09-01,2302000,47.1
2014-09-02,1870200,46.6
2014-09-03,7169000,47.82
2014-09-04,6681800,47.29
2014-09-05,6401200,47.8
2014-09-08,3335900,46.79
2014-09-09,1517300,47.1
2014-09-10,1165200,47.1
2014-09-11,4027200,45.63
2014-09-12,3615500,46.25
2014-09-15,1826600,46.22
2014-09-16,2013900,46.65
2014-09-17,4065000,46.0
2014-09-18,2252900,45.44
2014-09-19,3925900,45.8
2014-09-22,1130000,45.29
2014-09-23,1217700,45.4
2014-09-24,3038500,44.8
2014-09-25,3783500,44.45
2014-09-26,5187800,43.6
2014-09-29,3396300,43.49
2014-09-30,2627500,43.25
2014-10-01,1700100,42.83
2014-10-02,2552100,42.68
2014-10-03,2063400,42.25
2014-10-06,2539600,42.2
2014-10-07,3197100,42.48
2014-10-08,5057600,41.53
2014-10-09,2029000,40.9
2014-10-10,3792200,40.13
2014-10-13,2749900,39.75
2014-10-14,2621600,39.95
2014-10-15,4510000,40.24
2014-10-16,3605300,39.69
2014-10-17,2280000,40.48
2014-10-20,2630700,40.05
2014-10-21,1423700,39.72
2014-10-22,4357300,38.5
2014-10-23,6020000,37.23
2014-10-24,2266600,37.3
2014-10-27,4093100,37.61
2014-10-28,3418900,38.14
2014-10-29,3646500,38.0
2014-10-30,3566500,38.01
2014-10-31,4057700,38.2
2014-11-03,1275800,38.32
2014-11-05,6599600,39.65
2014-11-06,14488700,41.37
2014-11-07,6713200,41.31
2014-11-10,8108500,43.98
2014-11-11,10735300,44.28
2014-11-12,4527900,43.46
2014-11-13,8640900,41.4
2014-11-14,9425300,41.5
2014-11-17,2475400,41.0
2014-11-18,4898500,41.15
2014-11-19,3836000,39.91
2014-11-20,7052100,42.01
2014-11-21,6635300,42.9
2014-11-24,4467100,41.7
2014-11-25,3221800,42.28
2014-11-26,3121600,41.88
2014-11-27,3808300,41.15
2014-11-28,5641100,41.78
2014-12-01,6867400,41.75
2014-12-02,6046800,41.83
2014-12-03,4692700,40.99
2014-12-04,4436100,40.43
2014-12-05,7002100,38.17
2014-12-08,5188200,37.77
2014-12-09,5950800,37.44
2014-12-10,8186000,38.19
2014-12-11,7068600,37.17
2014-12-12,4736800,37.29
2014-12-15,4149900,35.62
2014-12-16,24158800,29.86
2014-12-17,9290300,30.0
2014-12-18,18252100,31.0
2014-12-19,7079700,32.5
2014-12-22,12007200,33.1
2014-12-23,9568500,33.8
2014-12-24,2135300,33.55
2014-12-25,1861000,33.89
2014-12-26,2208200,33.57
2014-12-29,2940500,32.75
2014-12-30,2223300,32.23
2015-01-05,982200,33.21
2015-01-06,768000,33.07
2015-01-08,3377000,35.17
2015-01-09,4286300,34.0
2015-01-12,2852900,34.45
2015-01-13,2941300,35.0
2015-01-14,5454700,36.55
2015-01-15,4259500,36.65
2015-01-16,2466400,36.05
2015-01-19,1965700,36.34
2015-01-20,3395600,37.2
2015-01-21,4436500,38.1
2015-01-22,4964100,39.55
2015-01-23,10595200,40.15
2015-01-26,6007200,38.26
2015-01-27,5225300,38.0
2015-01-28,2818900,38.11
2015-01-29,2349900,37.3
2015-01-30,3558900,38.25
2015-02-02,2330000,37.34
2015-02-03,2657700,37.55
2015-02-04,1784400,37.09
2015-02-05,3786300,37.75
2015-02-06,6986800,38.0
2015-02-09,6245300,37.6
2015-02-10,4352900,37.83
2015-02-11,3867600,38.0
2015-02-12,9450100,39.39
2015-02-13,7546700,40.4
2015-02-16,5894700,40.41
2015-02-17,5512800,40.15
2015-02-18,3664300,40.98
2015-02-19,4418200,39.93
2015-02-20,3504100,40.0
2015-02-24,2897300,39.6
2015-02-25,2640800,38.99
2015-02-26,3824500,39.5
2015-02-27,4610500,39.19
2015-03-02,2288300,39.5
2015-03-03,2134100,39.89
2015-03-04,5239000,38.55
2015-03-05,3540800,38.47
2015-03-06,2373000,38.96
2015-03-10,3015300,36.65
2015-03-11,2926600,36.65
2015-03-12,4326700,38.45
2015-03-13,4881000,37.18
2015-03-16,2954800,36.5
2015-03-17,3368100,35.01
2015-03-18,3837200,35.1
2015-03-19,5021600,35.0
2015-03-20,5370500,33.5
2015-03-23,6015200,34.0
2015-03-24,2751200,34.24
2015-03-25,3652400,33.6
2015-03-26,6246200,32.5
2015-03-27,3000500,32.7
2015-03-30,6780900,34.04
2015-03-31,4603200,34.0
2015-04-01,7551800,36.14
2015-04-02,5738200,35.76
2015-04-03,2797500,35.76
2015-04-06,2694700,36.5
2015-04-07,3703700,36.6
2015-04-08,3641900,35.75
2015-04-09,6489500,35.1
2015-04-10,18761000,38.0
2015-04-13,11924600,37.13
2015-04-14,6107500,37.7
2015-04-15,8120000,38.5
2015-04-16,8350000,39.16
2015-04-17,5584200,38.28
2015-04-20,3209200,37.75
2015-04-21,3394300,37.72
2015-04-22,7553100,38.99
2015-04-23,6447900,38.65
2015-04-24,5601800,39.2
2015-04-27,2898400,39.33
2015-04-28,2124700,39.0
2015-04-29,3595200,39.5
2015-04-30,5943300,38.15
2015-05-05,11120500,40.2
2015-05-06,4416500,40.41
2015-05-07,2986700,40.02
2015-05-08,5190900,40.7
2015-05-12,4663400,40.5
2015-05-13,12263500,41.49
2015-05-14,5720200,41.09
2015-05-15,1946200,40.61
2015-05-18,2218200,40.52
2015-05-19,3062100,39.9
2015-05-20,3832600,38.85
2015-05-21,2481200,39.28
2015-05-22,4058000,41.2
2015-05-25,2530300,41.1
2015-05-26,2072700,40.23
2015-05-27,2940400,40.4
2015-05-28,1774200,40.75
2015-05-29,2296900,41.1
2015-06-01,769500,40.53
2015-06-02,2270100,40.0
2015-06-03,2818900,39.3
2015-06-04,3559900,40.07
2015-06-05,1143600,39.8
2015-06-08,2228800,40.0
2015-06-09,2479900,40.8
2015-06-10,2122900,41.1
2015-06-11,2849300,39.78
2015-06-15,2702700,39.45
2015-06-16,1752700,39.7
2015-06-17,1486300,39.27
2015-06-18,1496000,38.97
2015-06-19,3203300,37.9
2015-06-22,1979800,38.78
2015-06-23,1559700,39.04
2015-06-24,1104100,38.72
2015-06-25,1052100,38.3
2015-06-26,1139700,39.16
2015-06-29,1072000,38.0
2015-06-30,1004000,38.24
2015-07-01,3180100,37.3
2015-07-02,1775900,37.0
2015-07-03,1418600,37.05
2015-07-06,1389600,36.67
2015-07-07,1733000,36.75
2015-07-08,3761100,38.0
2015-07-09,2589700,38.05
2015-07-10,2053500,38.07
2015-07-13,1317500,38.1
2015-07-14,3221600,38.94
2015-07-15,1385000,38.96
2015-07-16,1529600,39.55
2015-07-17,1168000,39.55
2015-07-20,1743800,38.82
2015-07-21,1397200,39.1
2015-07-22,1341400,39.0
2015-07-23,1315500,39.33
2015-07-24,2299700,39.13
2015-07-27,1359000,38.6
2015-07-28,1622300,38.12
2015-07-29,2587400,38.97
2015-07-30,3580200,39.22
2015-07-31,1790600,39.35
2015-08-03,2669500,39.3
2015-08-04,1364800,39.3
2015-08-05,4233000,40.5
2015-08-06,2971900,39.9
2015-08-07,1385500,40.52
2015-08-10,1351000,40.23
2015-08-11,929100,40.19
2015-08-12,650100,40.18
2015-08-13,764700,40.1
2015-08-14,998200,39.87
2015-08-17,654200,39.8
2015-08-18,599800,39.95
2015-08-19,574700,39.9
2015-08-20,1171900,39.8
2015-08-21,1649100,39.0
2015-08-24,2748300,37.73
2015-08-25,1859200,38.74
2015-08-26,611400,38.95
2015-08-27,1191500,38.8
2015-08-28,1970300,39.04
2015-08-31,3325400,40.0
2015-09-01,14753600,37.7
2015-09-02,24187000,36.27
2015-09-03,11654400,35.7
2015-09-04,13937900,34.85
2015-09-07,12819900,34.1
2015-09-08,16684100,33.51
2015-09-09,18709700,34.97
2015-09-10,11211100,35.66
2015-09-11,3356300,35.55
2015-09-14,6298700,36.25
2015-09-15,3351900,36.2
2015-09-16,4809800,36.15
2015-09-17,5844900,35.83
2015-09-18,4146100,36.53
2015-09-21,2428100,35.95
2015-09-22,1802400,35.51
2015-09-23,1337500,35.31
2015-09-24,3016300,34.67
2015-09-25,2619500,35.33
2015-09-28,1610200,34.53
2015-09-29,3018900,34.6
2015-09-30,5084700,35.23
2015-10-01,14819200,36.1
2015-10-02,37401500,38.8
2015-10-05,9020900,38.92
2015-10-06,5741000,39.43
2015-10-07,13243800,40.8
2015-10-08,6556000,41.6
2015-10-09,12640100,43.31
2015-10-12,13812900,44.42
2015-10-13,12825500,44.9
2015-10-14,23223000,47.39
2015-10-15,14375100,49.0
2015-10-16,15577300,48.9
2015-10-19,8910600,48.11
2015-10-20,12451100,49.31
2015-10-21,17458000,47.8
2015-10-22,8604000,49.23
2015-10-23,5177100,48.26
2015-10-26,4779000,48.07
2015-10-27,8734800,47.23
2015-10-28,3208200,47.52
2015-10-29,2913100,47.44
2015-10-30,3687500,49.0
2015-11-02,3513200,49.3
2015-11-03,20849000,52.52
2015-11-05,5271500,51.96
2015-11-06,3929400,51.94
2015-11-09,2744000,52.41
2015-11-10,2475900,51.84
2015-11-11,12179500,53.53
2015-11-12,3381700,53.47
2015-11-13,2897400,53.39
2015-11-16,5620200,52.3
2015-11-17,7596500,54.9
2015-11-18,8527300,57.09
2015-11-19,7335300,56.45
2015-11-20,5757300,57.86
2015-11-23,4631200,57.52
2015-11-24,8762400,55.77
2015-11-25,4020200,56.67
2015-11-26,3401500,55.12
2015-11-27,2589300,55.42
2015-11-30,9329200,58.91
2015-12-01,16025900,61.0
2015-12-02,14287500,57.6
2015-12-03,6776600,56.51
2015-12-04,5203100,57.33
2015-12-07,5631000,59.0
2015-12-08,4660600,56.91
2015-12-09,4664400,58.4
2015-12-10,4061600,59.84
2015-12-11,8261500,58.5
2015-12-14,2834500,58.0
2015-12-15,6647100,57.2
2015-12-16,2421500,56.45
2015-12-17,4060600,57.15
2015-12-18,2460600,56.51
